ite 619, loss is 12.400181770324707
ite 620, loss is 12.266083717346191
ite 621, loss is 12.214765548706055
ite 622, loss is 12.242609024047852
ite 623, loss is 12.164493560791016
ite 624, loss is 11.965361595153809
ite 625, loss is 11.93753719329834
ite 626, loss is 12.036467552185059
ite 627, loss is 11.826723098754883
ite 628, loss is 11.74817180633545
ite 629, loss is 11.842521667480469
ite 630, loss is 11.671431541442871
ite 631, loss is 11.664654731750488
ite 632, loss is 11.63921070098877
ite 633, loss is 11.542930603027344
ite 634, loss is 11.598653793334961
ite 635, loss is 11.508001327514648
ite 636, loss is 11.400413513183594
ite 637, loss is 11.476888656616211
ite 638, loss is 11.430359840393066
ite 639, loss is 11.352807998657227
ite 640, loss is 11.414214134216309
ite 641, loss is 11.428654670715332
ite 642, loss is 11.634345054626465
ite 643, loss is 12.167855262756348
ite 644, loss is 13.31058120727539
ite 645, loss is 14.885411262512207
ite 646, loss is 15.871490478515625
ite 647, loss is 14.140870094299316
ite 648, loss is 12.88911247253418
ite 649, loss is 13.80417537689209
ite 650, loss is 12.716546058654785
ite 651, loss is 12.177116394042969
ite 652, loss is 12.822742462158203
ite 653, loss is 12.265654563903809
ite 654, loss is 11.824316024780273
ite 655, loss is 12.299793243408203
ite 656, loss is 11.999870300292969
ite 657, loss is 11.7044038772583
ite 658, loss is 11.812045097351074
ite 659, loss is 11.701218605041504
ite 660, loss is 11.52005672454834
ite 661, loss is 11.594406127929688
ite 662, loss is 11.289385795593262
ite 663, loss is 11.263544082641602
ite 664, loss is 11.322663307189941
ite 665, loss is 11.029610633850098
ite 666, loss is 11.181822776794434
ite 667, loss is 11.003613471984863
ite 668, loss is 10.997714042663574
ite 669, loss is 10.927665710449219
ite 670, loss is 10.87816047668457
ite 671, loss is 10.8341646194458
ite 672, loss is 10.789103507995605
ite 673, loss is 10.766264915466309
ite 674, loss is 10.727338790893555
ite 675, loss is 10.656900405883789
ite 676, loss is 10.692444801330566
ite 677, loss is 10.603510856628418
ite 678, loss is 10.578951835632324
ite 679, loss is 10.585122108459473
ite 680, loss is 10.495034217834473
ite 681, loss is 10.53406810760498
ite 682, loss is 10.491890907287598
ite 683, loss is 10.5407133102417
ite 684, loss is 10.65060043334961
ite 685, loss is 10.979820251464844
ite 686, loss is 11.875539779663086
ite 687, loss is 13.72489070892334
ite 688, loss is 15.990070343017578
ite 689, loss is 14.638795852661133
ite 690, loss is 10.9594144821167
ite 691, loss is 12.993396759033203
ite 692, loss is 13.086843490600586
ite 693, loss is 11.055179595947266
ite 694, loss is 12.49317455291748
ite 695, loss is 11.329331398010254
ite 696, loss is 11.682278633117676
ite 697, loss is 11.096212387084961
ite 698, loss is 11.536452293395996
ite 699, loss is 11.150768280029297
ite 700, loss is 10.989965438842773
