ite 666, loss is 11.850703239440918
ite 667, loss is 12.408829689025879
ite 668, loss is 12.0939359664917
ite 669, loss is 11.7404146194458
ite 670, loss is 12.063944816589355
ite 671, loss is 11.885055541992188
ite 672, loss is 11.657390594482422
ite 673, loss is 11.828411102294922
ite 674, loss is 11.641819953918457
ite 675, loss is 11.558112144470215
ite 676, loss is 11.646003723144531
ite 677, loss is 11.414244651794434
ite 678, loss is 11.486126899719238
ite 679, loss is 11.503765106201172
ite 680, loss is 11.26998233795166
ite 681, loss is 11.400484085083008
ite 682, loss is 11.34168815612793
ite 683, loss is 11.211416244506836
ite 684, loss is 11.302205085754395
ite 685, loss is 11.204658508300781
ite 686, loss is 11.150283813476562
ite 687, loss is 11.198105812072754
ite 688, loss is 11.11867618560791
ite 689, loss is 11.089356422424316
ite 690, loss is 11.088522911071777
ite 691, loss is 11.030753135681152
ite 692, loss is 11.039961814880371
ite 693, loss is 11.010856628417969
ite 694, loss is 10.950334548950195
ite 695, loss is 10.962682723999023
ite 696, loss is 10.937928199768066
ite 697, loss is 10.887779235839844
ite 698, loss is 10.893534660339355
ite 699, loss is 10.87844467163086
ite 700, loss is 10.831622123718262
ite 701, loss is 10.817185401916504
ite 702, loss is 10.802842140197754
ite 703, loss is 10.771693229675293
ite 704, loss is 10.760234832763672
ite 705, loss is 10.75662612915039
ite 706, loss is 10.749797821044922
ite 707, loss is 10.7828950881958
ite 708, loss is 10.913350105285645
ite 709, loss is 11.225336074829102
ite 710, loss is 12.015918731689453
ite 711, loss is 13.5789155960083
ite 712, loss is 16.587724685668945
ite 713, loss is 17.249752044677734
ite 714, loss is 14.197386741638184
ite 715, loss is 15.086194038391113
ite 716, loss is 21.042173385620117
ite 717, loss is 15.260229110717773
ite 718, loss is 15.889102935791016
ite 719, loss is 14.335570335388184
ite 720, loss is 15.157093048095703
ite 721, loss is 14.346667289733887
ite 722, loss is 13.549790382385254
ite 723, loss is 13.503700256347656
ite 724, loss is 13.388679504394531
ite 725, loss is 13.24882698059082
ite 726, loss is 12.785821914672852
ite 727, loss is 12.723231315612793
ite 728, loss is 12.540156364440918
ite 729, loss is 12.12149429321289
ite 730, loss is 12.340983390808105
ite 731, loss is 11.674015998840332
ite 732, loss is 11.989803314208984
ite 733, loss is 11.843329429626465
ite 734, loss is 11.500306129455566
ite 735, loss is 11.620720863342285
ite 736, loss is 11.428301811218262
ite 737, loss is 11.292730331420898
ite 738, loss is 11.301752090454102
ite 739, loss is 11.209441184997559
ite 740, loss is 11.065771102905273
ite 741, loss is 11.053022384643555
ite 742, loss is 11.045886039733887
ite 743, loss is 10.888849258422852
ite 744, loss is 10.935042381286621
ite 745, loss is 10.806220054626465
ite 746, loss is 10.784862518310547
ite 747, loss is 10.745532035827637
ite 748, loss is 10.665200233459473
ite 749, loss is 10.640737533569336
ite 750, loss is 10.60749626159668
ite 751, loss is 10.550461769104004
ite 752, loss is 10.529767036437988
ite 753, loss is 10.523070335388184
ite 754, loss is 10.425994873046875
ite 755, loss is 10.44652271270752
ite 756, loss is 10.388253211975098
ite 757, loss is 10.358538627624512
ite 758, loss is 10.346314430236816
ite 759, loss is 10.301576614379883
ite 760, loss is 10.285239219665527
ite 761, loss is 10.253170013427734
ite 762, loss is 10.221590995788574
ite 763, loss is 10.211837768554688
ite 764, loss is 10.17166805267334
ite 765, loss is 10.15573787689209
ite 766, loss is 10.13022232055664
ite 767, loss is 10.10155963897705
ite 768, loss is 10.084118843078613
ite 769, loss is 10.05870246887207
ite 770, loss is 10.040656089782715
ite 771, loss is 10.015523910522461
ite 772, loss is 9.997931480407715
ite 773, loss is 9.976739883422852
ite 774, loss is 9.956372261047363
ite 775, loss is 9.941417694091797
ite 776, loss is 9.924552917480469
ite 777, loss is 9.917076110839844
ite 778, loss is 9.91962718963623
ite 779, loss is 9.951858520507812
ite 780, loss is 10.050355911254883
ite 781, loss is 10.33231258392334
ite 782, loss is 11.11800479888916
ite 783, loss is 12.64669132232666
ite 784, loss is 14.41039752960205
ite 785, loss is 12.788541793823242
ite 786, loss is 10.279621124267578
ite 787, loss is 11.570347785949707
ite 788, loss is 11.241303443908691
ite 789, loss is 10.39767837524414
ite 790, loss is 11.151618003845215
ite 791, loss is 10.277158737182617
ite 792, loss is 10.711891174316406
ite 793, loss is 10.349370956420898
ite 794, loss is 10.267382621765137
ite 795, loss is 10.427079200744629
ite 796, loss is 10.07740592956543
ite 797, loss is 10.184769630432129
ite 798, loss is 10.12069034576416
ite 799, loss is 9.90978717803955
ite 800, loss is 10.064326286315918
ite 801, loss is 9.825277328491211
ite 802, loss is 9.943436622619629
ite 803, loss is 9.773993492126465
ite 804, loss is 9.838685989379883
ite 805, loss is 9.704643249511719
ite 806, loss is 9.774672508239746
ite 807, loss is 9.659738540649414
ite 808, loss is 9.670632362365723
ite 809, loss is 9.620586395263672
ite 810, loss is 9.606876373291016
